1,30.4121,33,33.953,485.7,0.0213,66.424,3,0.0919,0.0968,2589.3545,2337.924,0,0.9956,1,0
2,21.5251,26.2857,52.3255,175.8471,0,66.4183,4,0.0725,-0.1226,1218.9881,887.1332,0,0.9997,2,0
3,21.6465,24.0714,33.9579,1186.3861,0.3714,65.0265,3,0.1082,0.0277,1295.9026,983.0837,0,0.9998,1,0
4,15.7708,19.3095,28.737,417.416,0.0158,66.3837,4,0.0295,-0.0143,148.0514,0,0,0.9145,2,0
5,24.1923,27.8333,34.1393,370.7291,0,65.3956,4,0.0869,-0.0804,1559.9767,1139.3851,0,0.9967,2,0
6,30.6579,33.6667,41.6115,142.7764,0.0441,66.8216,3,0.1185,0.0427,3828.28,3537.9506,0,1,1,0
7,29.7933,33.5,43.2502,218.6871,0.2288,66.7114,3,0.1469,0.0909,3628.5793,3344.791,0,0.9855,1,1
8,26.1762,31.6667,42.5789,155.2376,0,66.0557,4,0.1096,0.1883,2292.19,1752.8386,0,0.8523,2,1
9,19.7832,22.9048,15.9242,407.264,0.0203,64.352,4,0.0401,0.0721,561.711,284.1853,0,0.9004,2,0
10,24.5119,28.1429,52.3751,1268.1014,0.2119,65.1386,3,0.1335,0.1215,1640.5762,1415.1283,0,0.9988,1,0
11,24.0262,27.7143,45.1848,121.121,0,65.4719,4,0.1013,0.0598,1919.9284,1656.8431,0,0.9496,2,1
12,21.2411,28.1905,37.438,972.9881,0.5963,66.3199,3,0.114,0.039,1229.8602,656.1615,0,0.9988,1,0
13,28.5332,36,52.3404,895.9118,0.0539,68.5982,3,0.1348,-0.1282,2233.7144,1571.8574,0,0.9999,1,0
14,21.3157,25.3333,48.6544,130.5893,0,65.341,4,0.0944,0.2842,1427.5192,1116.1144,0,0.9948,2,0
15,30.8241,35.3571,38.1195,190.0397,0.4208,68.0732,3,0.1398,0.0282,3999.8402,3553.6305,0,0.9991,1,0
16,13.4711,13.5714,3.1235,42.5042,0.2143,62.9615,4,0.0313,0.0252,334.9372,278.0923,0,0.0843,2,0
17,17.2179,18,7.1918,397.3039,0.2333,66.2853,3,0.0355,-0.0001,802.2237,515.6652,0,0.967,1,0
18,18.6022,22.619,32.0859,540.067,0.3103,66.2991,3,0.0858,0.1734,1045.0243,803.9513,0,0.9318,1,0
